latitude,longitude,date
44.8633,-122.6397,1976-07-15
44.8623,-122.2728,1977-07-15
45.03575,-122.7789,1980-07-15
44.915,-122.585,1995-10-15
44.79307,-122.5674,2002-07-10
44.7679,-122.095,2003-06-15
44.699,-122.1874,2005-06-21
45.11259,-122.7875,2006-11-13
45.5145,-122.3352,1979-10-15
45.63893,-122.8889,1994-10-15
45.65125,-121.9123,1995-07-10
45.55364,-122.1884,2002-01-09
45.4684,-122.2487,2002-09-05
44.8458,-123.5834,1991-10-15
44.86875,-123.4462,2000-10-15
45.06215,-123.7027,2000-10-30
45.07072,-123.6664,2001-09-01
45.0487,-123.5792,2003-07-24
45.0608,-123.694,2003-12-08
45.145,-123.972,1995-08-14
45.75449,-123.866,1997-09-13
45.59669,-123.3768,1997-11-10
45.5891,-123.5469,1998-08-02
45.7351,-123.466,2000-08-19
45.61308,-123.3973,2012-08-18
45.59864,-123.6113,2014-07-09
44.0639,-120.2782,1989-11-04
43.2547,-124.0598,1949-08-15
45.82565,-123.296,2003-11-09
46.2262,-124.0133,1978-02-15
44.68557,-118.0891,1991-04-10
40.04755,-80.25645,1978-10-01
41.70813,-77.99314,1987-11-28
40.8495,-75.327,2017-11-17
41.845,-77.7011,1996-10-26
41.7655,-77.8768,2004-05-09
41.94126,-77.62891,2021-10-11
41.79985,-75.9799,2008-12-19
41.50383,-75.23662,2014-01-19
40.32247,-79.16817,1967-09-14
40.5258,-79.6575,2006-09-02
40.43163,-79.58031,2014-02-16
45.0018,-117.2022,1996-05-20
44.58335,-123.4166,2002-08-24
44.6693,-123.2433,2005-03-13
44.50455,-123.5524,2009-06-13
45.4237,-122.3876,1971-06-25
45.3894,-122.4163,1978-08-29
45.0837,-122.4888,1984-08-15
44.99745,-122.1647,1991-07-04
45.33,-121.9165,1993-06-15
44.9979,-122.1631,1993-08-02
45.12545,-122.533,1995-07-15
45.32301,-121.7115,1997-05-27
45.03255,-122.4808,2000-06-08
45.40023,-122.2777,2000-07-22
44.97487,-122.3057,2001-03-18
45.33175,-121.9139,2001-11-29
45.3207,-121.9547,2003-02-15
45.1867,-122.3803,2004-06-20
44.9633,-122.4,2004-09-26
44.95023,-122.2347,2008-08-10
45.31061,-121.8388,2008-08-25
45.1518,-122.1032,2013-09-24
46.19945,-123.9513,1993-09-15
45.99378,-123.9211,2001-08-03
45.70835,-123.625,2001-09-20
45.93701,-123.5417,2004-06-04
46.03193,-123.4573,2008-08-01
45.7492,-122.9546,2004-08-06
45.85606,-123.1691,2018-06-24
40.1,-124.2,1980-02-15
43.54165,-123.875,1995-11-14
43.1786,-124.3688,2004-08-21
43.0,-124.43,2004-10-29
43.27402,-123.9834,2020-04-15
42.28445,-124.2148,1974-11-15
42.6425,-124.0255,1975-09-15
42.82,-124.53,1986-08-14
42.4018,-124.426,1994-02-25
42.07,-124.3,2001-03-17
42.08,-124.3,2001-06-04
41.115,-75.205,2008-08-15
40.61798,-77.62407,1980-05-15
41.21365,-80.26563,1978-10-15
41.32501,-75.74288,2016-03-23
39.72785,-76.2074,2011-07-20
40.33498,-77.85934,2021-08-12
41.47511,-79.3178,1980-07-03
41.91826,-80.54177,1977-10-15
40.05148,-79.56702,1994-10-15
41.51954,-78.87955,2010-06-05
40.60756,-79.20052,2022-12-20
41.02176,-74.53322,1988-10-15
41.4065,-76.804,2005-07-01
41.9548,-78.65621,1963-10-01
41.97226,-78.66863,1973-09-12
41.73315,-78.93985,2006-01-01
41.07374,-80.12229,2012-10-19
41.05,-80.50751,2015-08-15
41.01865,-78.377,1921-01-14
39.73523,-76.04183,2011-09-01
40.36382,-78.87788,1978-07-26
40.50322,-80.19804,2007-02-27
41.98067,-71.6568,1998-10-15
41.81391,-71.74425,2011-11-15
39.76366,-77.27178,1961-07-01
40.357,-79.8765,1985-06-15
40.29929,-79.8944,1988-08-16
40.5833,-79.9167,2006-01-30
40.52825,-80.25475,2007-07-22
40.5278,-79.7668,2007-11-03
40.6166,-80.0107,2008-01-27
40.60946,-80.3293,2020-04-11
40.4225,-75.06665,2007-09-17
40.37726,-75.37814,2007-10-24
40.1316,-74.85745,2014-02-25
40.94997,-80.07443,2015-05-01
40.92895,-80.07216,2016-08-15
40.65083,-78.52589,2009-11-30
40.29074,-78.85725,2011-11-15
40.45896,-78.80971,2022-10-05
41.34404,-78.04547,2008-10-16
40.97015,-78.42314,1978-08-21
41.12782,-78.5826,2008-09-13
41.31268,-78.39445,2003-09-30
35.148,-81.861,1969-07-18
34.0431,-80.80685,1964-10-10
34.52414,-82.38998,1981-07-11
34.39092,-81.54448,2020-10-31
33.72,-78.9211,1974-04-18
34.421,-81.396,2006-05-08
33.096,-80.316,2007-01-14
34.08725,-79.1246,1998-09-01
33.5155,-78.3829,2007-04-14
34.53654,-81.70052,1991-12-06
34.45025,-82.56786,1975-07-01
35.01305,-82.7962,1998-10-01
34.65375,-83.11639,2005-12-05
36.86345,-79.65835,1985-08-15
32.9032,-80.65645,2005-02-11
34.59,-80.3891,2003-10-17
34.9533,-81.56005,2003-04-15
33.007,-80.156,1970-06-24
32.29968,-80.95958,2007-05-30
33.245,-81.359,1978-06-08
34.35765,-82.82005,2007-06-01
32.98597,-81.61264,2005-11-25
43.35851,-102.3971,2002-12-04
43.89875,-103.4966,2006-11-04
44.38611,-103.6183,2008-06-22
43.4471,-101.7312,2003-11-01
43.37663,-99.1903,2006-11-14
44.21694,-103.7742,2019-06-27
32.37152,-80.44109,2022-08-02
33.132,-79.884,2004-10-20
33.0932,-79.8102,2021-03-15
35.14947,-81.60892,2021-10-30
32.825,-80.559,2007-07-21
33.04536,-80.45451,2009-05-02
34.374,-80.074,2006-03-13
36.15588,-82.38587,2012-11-11
35.5035,-89.91499,1981-10-15
35.68449,-83.53575,1970-04-01
36.3065,-84.34,1986-06-14
35.5467,-85.02585,2004-03-01
35.1013,-84.3046,1986-10-14
35.545,-87.8084,2011-09-15
36.26451,-89.25397,1978-06-17
35.988,-86.5101,1988-08-15
35.94778,-86.36485,1993-03-15
35.64151,-83.47566,2002-07-01
35.46865,-83.3626,2006-04-11
35.4745,-83.3032,2008-08-30
35.226,-89.94,1985-04-15
36.42846,-82.31094,1993-10-20
36.30155,-86.60155,1966-04-15
36.5802,-86.5104,1986-05-24
35.537,-89.63499,1994-12-01
35.416,-89.7735,2007-07-15
36.19746,-84.66167,2009-12-14
35.3538,-84.0458,1987-03-14
35.6753,-86.7074,1980-06-10
35.40472,-84.05056,2006-07-22
35.3218,-87.2932,1955-01-01
35.94,-87.25375,1994-10-15
35.80762,-88.30945,2005-02-09
35.52335,-89.35205,2013-03-01
36.36264,-82.98764,1981-02-15
35.0055,-89.3808,1989-10-14
36.38632,-83.21461,2006-10-07
